"filename", "language", "PHP", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Apache24\htdocs\sistema_vidrios_nvo\api\login_check.php", "PHP", 44, 0, 0, 0, 11, 55
"c:\Apache24\htdocs\sistema_vidrios_nvo\compras.php", "PHP", 211, 0, 0, 0, 20, 231
"c:\Apache24\htdocs\sistema_vidrios_nvo\create_admin.php", "PHP", 22, 0, 0, 0, 4, 26
"c:\Apache24\htdocs\sistema_vidrios_nvo\css\estilos.css", "PostCSS", 0, 38, 0, 0, 2, 40
"c:\Apache24\htdocs\sistema_vidrios_nvo\dashboard.php", "PHP", 735, 0, 0, 10, 96, 841
"c:\Apache24\htdocs\sistema_vidrios_nvo\index.php", "PHP", 3, 0, 0, 0, 1, 4
"c:\Apache24\htdocs\sistema_vidrios_nvo\inventario.php", "PHP", 298, 0, 0, 3, 45, 346
"c:\Apache24\htdocs\sistema_vidrios_nvo\js\funciones.js", "JavaScript", 0, 0, 12, 1, 1, 14
"c:\Apache24\htdocs\sistema_vidrios_nvo\login.php", "PHP", 212, 0, 0, 0, 32, 244
"c:\Apache24\htdocs\sistema_vidrios_nvo\logout.php", "PHP", 6, 0, 0, 0, 1, 7
"c:\Apache24\htdocs\sistema_vidrios_nvo\menu.php", "PHP", 188, 0, 0, 6, 29, 223
"c:\Apache24\htdocs\sistema_vidrios_nvo\productos.php", "PHP", 453, 0, 0, 10, 71, 534
"c:\Apache24\htdocs\sistema_vidrios_nvo\reportes.php", "PHP", 703, 0, 0, 14, 94, 811
"c:\Apache24\htdocs\sistema_vidrios_nvo\ticket.php", "PHP", 362, 0, 0, 5, 51, 418
"c:\Apache24\htdocs\sistema_vidrios_nvo\usuarios.php", "PHP", 346, 0, 0, 2, 48, 396
"c:\Apache24\htdocs\sistema_vidrios_nvo\ventas.php", "PHP", 472, 0, 0, 13, 81, 566
"Total", "-", 4055, 38, 12, 64, 587, 4756